Datetime,MPSAS
2021-06-07 20:00:00+08:00,22.34
2021-06-07 20:01:00+08:00,22.59
2021-06-07 20:02:00+08:00,22.85
2021-06-07 20:03:00+08:00,23.04
2021-06-07 20:04:00+08:00,23.04
2021-06-07 20:05:00+08:00,22.93
2021-06-07 20:06:00+08:00,22.65
2021-06-07 20:07:00+08:00,22.37
2021-06-07 20:08:00+08:00,22.29
2021-06-07 20:09:00+08:00,22.21
2021-06-07 20:10:00+08:00,22.29
2021-06-07 20:11:00+08:00,22.21
2021-06-07 20:12:00+08:00,22.08
2021-06-07 20:13:00+08:00,22.11
2021-06-07 20:14:00+08:00,22.06
2021-06-07 20:15:00+08:00,22.12
2021-06-07 20:16:00+08:00,22.13
2021-06-07 20:17:00+08:00,22.12
2021-06-07 20:18:00+08:00,22.24
2021-06-07 20:19:00+08:00,22.39
2021-06-07 20:20:00+08:00,22.31
2021-06-07 20:21:00+08:00,22.14
2021-06-07 20:22:00+08:00,22.13
2021-06-07 20:23:00+08:00,22.2
2021-06-07 20:24:00+08:00,22.5
2021-06-07 20:25:00+08:00,22.48
2021-06-07 20:26:00+08:00,22.14
2021-06-07 20:27:00+08:00,19.88
2021-06-07 20:28:00+08:00,19.47
2021-06-07 20:29:00+08:00,19.46
2021-06-07 20:30:00+08:00,19.73
2021-06-07 20:31:00+08:00,19.61
2021-06-07 20:32:00+08:00,19.87
2021-06-07 20:33:00+08:00,19.7
2021-06-07 20:34:00+08:00,19.9
2021-06-07 20:35:00+08:00,21.52
2021-06-07 20:36:00+08:00,20.82
2021-06-07 20:37:00+08:00,21.26
2021-06-07 20:38:00+08:00,21.43
2021-06-07 20:39:00+08:00,19.88
2021-06-07 20:40:00+08:00,19.74
2021-06-07 20:41:00+08:00,19.75
2021-06-07 20:42:00+08:00,19.6
2021-06-07 20:43:00+08:00,20.83
2021-06-07 20:44:00+08:00,22.1
2021-06-07 20:45:00+08:00,22.11
2021-06-07 20:46:00+08:00,22.15
2021-06-07 20:47:00+08:00,22.17
2021-06-07 20:48:00+08:00,22.13
2021-06-07 20:49:00+08:00,22.16
2021-06-07 20:50:00+08:00,22.07
2021-06-07 20:51:00+08:00,22.2
2021-06-07 20:52:00+08:00,22.15
2021-06-07 20:53:00+08:00,22.15
2021-06-07 20:54:00+08:00,22.14
2021-06-07 20:55:00+08:00,22.12
2021-06-07 20:56:00+08:00,22.12
2021-06-07 20:57:00+08:00,22.11
2021-06-07 20:58:00+08:00,22.12
2021-06-07 20:59:00+08:00,22.11
2021-06-07 21:00:00+08:00,22.12
2021-06-07 21:01:00+08:00,22.12
2021-06-07 21:02:00+08:00,22.12
2021-06-07 21:03:00+08:00,22.12
2021-06-07 21:04:00+08:00,22.12
2021-06-07 21:05:00+08:00,22.12
2021-06-07 21:06:00+08:00,22.12
2021-06-07 21:07:00+08:00,22.12
2021-06-07 21:08:00+08:00,22.12
2021-06-07 21:09:00+08:00,22.12
2021-06-07 21:10:00+08:00,22.12
2021-06-07 21:11:00+08:00,22.12
2021-06-07 21:12:00+08:00,22.12
2021-06-07 21:13:00+08:00,22.12
2021-06-07 21:14:00+08:00,22.12
2021-06-07 21:15:00+08:00,22.12
2021-06-07 21:16:00+08:00,22.12
2021-06-07 21:17:00+08:00,22.12
2021-06-07 21:18:00+08:00,22.13
